n_legislatura;n_govern;persona;cargo
XI Legislatura;Segundo gobierno (PP) de 12.07.2024 - 22.11.2024;Vicente Martínez Mus;Consellera de Medio Ambiente, Infraestructuras y Territorio
XI Legislatura;Segundo gobierno (PP) de 12.07.2024 - 22.11.2024;Nuria Montes de Diego;Consellera de Innovación, Industria, Comercio y Turismo
XI Legislatura;Primer gobierno (PP+VOX) de 17.07.2023 - 11.07.2024;Carlos Mazón Guixot;Presidente
XI Legislatura;Primer gobierno (PP+VOX) de 17.07.2023 - 11.07.2024;Vicente José Barrera Simó;Vicepresidente primero y conseller de Cultura y Deporte
XI Legislatura;Primer gobierno (PP+VOX) de 17.07.2023 - 11.07.2024;Susana Camarero Benítez;Vicepresidenta segunda y consellera de Servicios Sociales, Igualdad y Vivienda
XI Legislatura;Primer gobierno (PP+VOX) de 17.07.2023 - 11.07.2024;Ruth Merino Peña;Consellera de Hacienda, Economía y Administración Pública
XI Legislatura;Primer gobierno (PP+VOX) de 17.07.2023 - 11.07.2024;Elisa María Núñez Sánchez;Consellera de Justicia e Interior
XI Legislatura;Primer gobierno (PP+VOX) de 17.07.2023 - 11.07.2024;Marciano Gómez Gómez;Conseller de Sanidad
XI Legislatura;Primer gobierno (PP+VOX) de 17.07.2023 - 11.07.2024;Jose Antonio Rovira Jover;Conseller de Educación, Universidades y Empleo
XI Legislatura;Primer gobierno (PP+VOX) de 17.07.2023 - 11.07.2024;Jose Luis Aguirre Larrauri;Conseller de Agricultura, Ganadería y Pesca
XI Legislatura;Primer gobierno (PP+VOX) de 17.07.2023 - 11.07.2024;Salomé Pradas Ten;Consellera de Medio Ambiente, Agua, Infraestructuras y Territorio
XI Legislatura;Primer gobierno (PP+VOX) de 17.07.2023 - 11.07.2024;Nuria Montes de Diego;Consellera de Innovación, Industria, Comercio y Turismo
